game,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,result
6935-9356,Camille,Graves,Galio,Kai'Sa,Alistar,Gnar,Nidalee,Zoe,Xayah,Leona,0
7012-9357,Aatrox,Nidalee,Orianna,Kai'Sa,Sett,Ornn,Lillia,Qiyana,Samira,Leona,0
ESPORTSTMNT01/1694062,Gragas,Graves,Syndra,Kai'Sa,Sett,Ornn,Olaf,Zoe,Xayah,Alistar,0
7015-9358,Poppy,Pantheon,Zoe,Samira,Thresh,Gnar,Nidalee,Jayce,Kai'Sa,Rell,0
6936-9359,Renekton,Nidalee,LeBlanc,Kai'Sa,Sett,Ornn,Graves,Zoe,Miss Fortune,Galio,0
7014-9360,Camille,Graves,Twisted Fate,Vayne,Braum,Renekton,Olaf,Orianna,Kai'Sa,Sett,0
7015-9362,Aatrox,Lillia,Syndra,Samira,Leona,Wukong,Nidalee,Jayce,Kai'Sa,Rell,1
ESPORTSTMNT01/1694108,Gnar,Olaf,Orianna,Kai'Sa,Nautilus,Sylas,Graves,Zoe,Samira,Alistar,0
6936-9361,Gnar,Lillia,LeBlanc,Kai'Sa,Alistar,Renekton,Taliyah,Viktor,Xayah,Leona,1
7014-9363,Renekton,Pantheon,Orianna,Aphelios,Thresh,Aatrox,Graves,Zoe,Kai'Sa,Alistar,1
ESPORTSTMNT01/1694118,Irelia,Udyr,Orianna,Jhin,Galio,Gnar,Graves,Syndra,Miss Fortune,Alistar,0
ESPORTSTMNT06/1510274,Aatrox,Nidalee,Syndra,Kai'Sa,Alistar,Fiora,Graves,Orianna,Samira,Rell,1
ESPORTSTMNT06/1510288,Renekton,Taliyah,Syndra,Xayah,Alistar,Gangplank,Lillia,Galio,Jhin,Pantheon,1
ESPORTSTMNT04/1480651,Gragas,Olaf,Twisted Fate,Sivir,Alistar,Renekton,Lillia,Tristana,Jhin,Leona,0
ESPORTSTMNT06/1510310,Malphite,Lillia,Yone,Kai'Sa,Thresh,Urgot,Pantheon,Cassiopeia,Miss Fortune,Braum,1
ESPORTSTMNT04/1480709,Renekton,Taliyah,Zoe,Xayah,Galio,Gragas,Hecarim,Viktor,Kai'Sa,Leona,0
ESPORTSTMNT03/1683744,Jayce,Taliyah,Orianna,Kai'Sa,Alistar,Gangplank,Lillia,Syndra,Aphelios,Thresh,0
ESPORTSTMNT03/1683767,Quinn,Lillia,Sett,Aphelios,Alistar,Renekton,Nidalee,Akali,Kai'Sa,Gragas,1
ESPORTSTMNT03/1683782,Gragas,Olaf,Akali,Miss Fortune,Seraphine,Ornn,Graves,Twisted Fate,Aphelios,Thresh,0
NA1/3754254739,Ornn,Lillia,Orianna,Aphelios,Karma,Shen,Kindred,Xerath,Jhin,Galio,1
NA1/3754255165,Malphite,Hecarim,Orianna,Aphelios,Lulu,Camille,Nidalee,Irelia,Ezreal,Pyke,0
ESPORTSTMNT03/1683785,Gnar,Lillia,Syndra,Kai'Sa,Leona,Camille,Nidalee,Galio,Miss Fortune,Nautilus,1
ESPORTSTMNT03/1683791,Malphite,Graves,Syndra,Jhin,Gragas,Gnar,Lillia,Akali,Kai'Sa,Leona,1
ESPORTSTMNT01/1730173,Gangplank,Lillia,Orianna,Kai'Sa,Nautilus,Ornn,Graves,Syndra,Aphelios,Thresh,1
7016-9364,Akali,Kayn,Galio,Kai'Sa,Rell,Aatrox,Graves,Twisted Fate,Jhin,Nautilus,0
ESPORTSTMNT01/1720284,Gangplank,Graves,LeBlanc,Samira,Rell,Gnar,Lillia,Orianna,Kai'Sa,Rakan,1
7016-9365,Wukong,Nidalee,Galio,Kai'Sa,Rell,Jax,Udyr,Twisted Fate,Xayah,Sett,0
7018-9367,Ornn,Hecarim,Orianna,Kai'Sa,Rell,Renekton,Taliyah,Viktor,Xayah,Alistar,0
7017-9366,Gnar,Lillia,Zoe,Kai'Sa,Alistar,Ornn,Taliyah,Sett,Xayah,Gragas,0
ESPORTSTMNT01/1730251,Renekton,Nidalee,Lucian,Kai'Sa,Rell,Gragas,Lee Sin,Syndra,Samira,Alistar,0
7018-9368,Aatrox,Olaf,LeBlanc,Xayah,Leona,Akali,Karthus,Lucian,Samira,Alistar,0
7017-9370,Renekton,Pantheon,Viktor,Xayah,Alistar,Jayce,Nidalee,Sylas,Kai'Sa,Leona,1
6937-9369,Gnar,Gragas,Syndra,Samira,Rell,Ornn,Graves,Zoe,Aphelios,Thresh,0
7018-9371,Renekton,Karthus,Akali,Kai'Sa,Alistar,Aatrox,Olaf,Twisted Fate,Xayah,Leona,0
ESPORTSTMNT01/1730313,Gragas,Olaf,Zoe,Xayah,Thresh,Ornn,Graves,Viktor,Kai'Sa,Leona,1
6937-9372,Camille,Lillia,Galio,Kai'Sa,Leona,Gnar,Gragas,Ryze,Xayah,Alistar,1
7020-9375,Camille,Hecarim,Viktor,Kai'Sa,Rell,Renekton,Pantheon,Galio,Xayah,Rakan,0
ESPORTSTMNT01/1720372,Renekton,Taliyah,Orianna,Aphelios,Thresh,Volibear,Xin Zhao,Twisted Fate,Miss Fortune,Sett,0
6938-9374,Gnar,Olaf,Viktor,Miss Fortune,Seraphine,Wukong,Jarvan IV,Twisted Fate,Aphelios,Thresh,0
ESPORTSTMNT01/1730332,Gragas,Kindred,Zoe,Kai'Sa,Rell,Aatrox,Pantheon,Syndra,Samira,Sett,0
6938-9377,Renekton,Lee Sin,Syndra,Xayah,Alistar,Gnar,Taliyah,Kled,Kai'Sa,Leona,1
7020-9378,Ornn,Lillia,Pantheon,Kai'Sa,Leona,Renekton,Nidalee,Orianna,Xayah,Rell,1
ESPORTSTMNT06/1560051,Mordekaiser,Pantheon,Irelia,Ashe,Alistar,Gnar,Sejuani,Renekton,Kai'Sa,Nautilus,0
ESPORTSTMNT06/1560052,Renekton,Lillia,Akali,Kai'Sa,Sett,Irelia,Olaf,Sylas,Seraphine,Rell,0
ESPORTSTMNT06/1560056,Aatrox,Graves,Zoe,Jhin,Leona,Mordekaiser,Hecarim,Akali,Aphelios,Alistar,0
ESPORTSTMNT03/1673660,Gragas,Kindred,Kassadin,Samira,Leona,Renekton,Lillia,Orianna,Miss Fortune,Alistar,0
ESPORTSTMNT04/1480759,Renekton,Ekko,Viktor,Kai'Sa,Alistar,Ornn,Taliyah,Lucian,Ashe,Thresh,1
ESPORTSTMNT03/1673670,Jayce,Nidalee,Syndra,Kai'Sa,Sett,Renekton,Hecarim,Zoe,Miss Fortune,Seraphine,1
ESPORTSTMNT04/1490690,Aatrox,Nidalee,Twisted Fate,Kai'Sa,Nautilus,Kennen,Hecarim,Orianna,Samira,Alistar,0
ESPORTSTMNT03/1673683,Volibear,Lillia,LeBlanc,Aphelios,Thresh,Mordekaiser,Ivern,Yone,Jinx,Rell,1
ESPORTSTMNT04/1480772,Volibear,Graves,Galio,Aphelios,Braum,Renekton,Pantheon,Twisted Fate,Kai'Sa,Rakan,1
ESPORTSTMNT03/1673702,Volibear,Taliyah,Twisted Fate,Kai'Sa,Sett,Renekton,Elise,Viktor,Aphelios,Alistar,1
ESPORTSTMNT03/1673709,Volibear,Graves,Twisted Fate,Kai'Sa,Galio,Camille,Kindred,Akali,Seraphine,Nautilus,0
ESPORTSTMNT03/1673715,Renekton,Nidalee,Twisted Fate,Xayah,Rakan,Karma,Hecarim,Lucian,Seraphine,Leona,0
ESPORTSTMNT03/1673719,Camille,Lillia,Lucian,Jhin,Leona,Jax,Graves,Twisted Fate,Kai'Sa,Alistar,1
ESPORTSTMNT03/1673726,Aatrox,Hecarim,Twisted Fate,Kai'Sa,Nautilus,Gragas,Nidalee,Lucian,Jhin,Galio,1
ESPORTSTMNT03/1673736,Gragas,Hecarim,Akali,Kai'Sa,Alistar,Gangplank,Nidalee,Twisted Fate,Jhin,Thresh,0
ESPORTSTMNT03/1673738,Camille,Kindred,Galio,Sivir,Alistar,Gragas,Graves,Azir,Jhin,Bard,0
NA1/3756222757,Camille,Hecarim,Orianna,Senna,Seraphine,Poppy,Pantheon,Viktor,Xayah,Galio,0
NA1/3756252945,Renekton,Taliyah,Orianna,Jhin,Leona,Ornn,Hecarim,Ziggs,Kai'Sa,Alistar,0
NA1/3756323003,Gnar,Taliyah,Orianna,Miss Fortune,Leona,Renekton,Lillia,Karma,Kai'Sa,Alistar,1
NA1/3756223414,Ornn,Graves,Seraphine,Vayne,Braum,Shen,Hecarim,Syndra,Samira,Pantheon,1
NA1/3756323363,Camille,Rengar,Orianna,Senna,Seraphine,Poppy,Karthus,Lucian,Ashe,Nautilus,0
NA1/3756323515,Camille,Graves,Syndra,Jhin,Gragas,Aatrox,Taliyah,Orianna,Miss Fortune,Pantheon,0
NA1/3756254561,Gragas,Hecarim,Syndra,Jhin,Nautilus,Camille,Pantheon,Karma,Vayne,Thresh,0
NA1/3756324728,Renekton,Taliyah,Syndra,Samira,Nautilus,Gnar,Lillia,Orianna,Jhin,Alistar,1
ESPORTSTMNT01/1720608,Gangplank,Lillia,Orianna,Samira,Alistar,Renekton,Jarvan IV,Syndra,Vayne,Galio,1
7021-9379,Camille,Nidalee,Galio,Jhin,Nautilus,Gnar,Graves,Sylas,Aphelios,Thresh,0
7021-9380,Aatrox,Nidalee,Ekko,Kai'Sa,Leona,Ornn,Olaf,Viktor,Aphelios,Thresh,0
7021-9381,Aatrox,Nidalee,Pantheon,Jhin,Alistar,Wukong,Olaf,Syndra,Miss Fortune,Seraphine,0
7023-9382,Renekton,Taliyah,Syndra,Xayah,Galio,Gangplank,Olaf,Orianna,Kai'Sa,Alistar,1
ESPORTSTMNT01/1720684,Gangplank,Udyr,Orianna,Kai'Sa,Rakan,Renekton,Lillia,Yone,Samira,Rell,1
7023-9383,Wukong,Lillia,Yone,Draven,Nautilus,Aatrox,Olaf,Akali,Aphelios,Thresh,0
7022-9385,Gnar,Lillia,Viktor,Kai'Sa,Rakan,Gragas,Lee Sin,Syndra,Samira,Rell,1
6939-9384,Renekton,Lee Sin,Twisted Fate,Samira,Galio,Gragas,Graves,Zoe,Kai'Sa,Leona,1
ESPORTSTMNT01/1720707,Gnar,Nidalee,Twisted Fate,Samira,Leona,Renekton,Lillia,Yone,Vayne,Galio,0
6939-9386,Renekton,Udyr,Ryze,Kai'Sa,Alistar,Gnar,Lillia,Syndra,Samira,Rell,0
7022-9388,Renekton,Taliyah,Irelia,Kai'Sa,Sett,Ornn,Olaf,Viktor,Xayah,Rakan,1
7025-9387,Camille,Taliyah,Syndra,Samira,Alistar,Gnar,Karthus,Jayce,Kai'Sa,Sett,1
ESPORTSTMNT01/1720710,Akali,Graves,Syndra,Kai'Sa,Leona,Kennen,Olaf,Galio,Kalista,Sett,0
7025-9390,Camille,Pantheon,Zoe,Xayah,Alistar,Aatrox,Taliyah,Jayce,Jhin,Gragas,0
6940-9389,Gnar,Graves,Zoe,Kai'Sa,Alistar,Camille,Nidalee,Orianna,Xayah,Rakan,0
7022-9391,Gangplank,Olaf,Orianna,Samira,Rell,Gragas,Hecarim,Viktor,Aphelios,Thresh,1
6940-9392,Gangplank,Graves,Orianna,Kai'Sa,Sett,Gnar,Lillia,Galio,Xayah,Alistar,0
ESPORTSTMNT01/1720742,Gnar,Lillia,Yone,Kai'Sa,Rell,Camille,Olaf,Syndra,Jhin,Sett,0
7024-9393,Ornn,Olaf,Viktor,Samira,Galio,Renekton,Pantheon,Cassiopeia,Kai'Sa,Alistar,0
ESPORTSTMNT06/1560072,Renekton,Taliyah,Orianna,Kai'Sa,Galio,Kennen,Olaf,Syndra,Miss Fortune,Seraphine,1
7024-9394,Gragas,Pantheon,Syndra,Samira,Galio,Renekton,Lillia,Orianna,Kai'Sa,Leona,0
ESPORTSTMNT01/1720760,Gnar,Taliyah,Syndra,Samira,Gragas,Camille,Olaf,Akali,Vayne,Alistar,1
ESPORTSTMNT06/1560073,Gragas,Olaf,Zoe,Kai'Sa,Rell,Renekton,Nidalee,Fizz,Miss Fortune,Sett,0
ESPORTSTMNT04/1480816,Ornn,Hecarim,Twisted Fate,Jhin,Alistar,Gragas,Graves,LeBlanc,Aphelios,Thresh,0
ESPORTSTMNT03/1683943,Renekton,Lillia,Zoe,Samira,Rell,Gnar,Udyr,Orianna,Aphelios,Thresh,1
ESPORTSTMNT03/1683949,Camille,Hecarim,Ryze,Jhin,Leona,Gangplank,Graves,Orianna,Miss Fortune,Nautilus,0
ESPORTSTMNT04/1490767,Camille,Olaf,Zoe,Vayne,Leona,Renekton,Graves,Viktor,Kai'Sa,Galio,0
ESPORTSTMNT03/1683961,Gragas,Hecarim,Sylas,Samira,Alistar,Rumble,Graves,Orianna,Aphelios,Leona,1
ESPORTSTMNT03/1683969,Camille,Olaf,Syndra,Aphelios,Rell,Ornn,Graves,Lucian,Seraphine,Nautilus,0
ESPORTSTMNT04/1480857,Gragas,Graves,Syndra,Samira,Alistar,Sion,Hecarim,Zoe,Jhin,Maokai,0
ESPORTSTMNT03/1683998,Camille,Taliyah,Orianna,Kai'Sa,Galio,Renekton,Graves,Syndra,Tristana,Leona,0
ESPORTSTMNT04/1480859,Gragas,Lillia,Orianna,Xayah,Alistar,Aatrox,Kindred,Viktor,Ashe,Thresh,1
ESPORTSTMNT03/1673808,Renekton,Nidalee,Syndra,Jhin,Alistar,Gangplank,Udyr,Orianna,Aphelios,Thresh,0
ESPORTSTMNT04/1480861,Volibear,Graves,Sylas,Kai'Sa,Sett,Gragas,Hecarim,Orianna,Vayne,Maokai,1
ESPORTSTMNT03/1684020,Jayce,Lillia,Twisted Fate,Kai'Sa,Rakan,Gragas,Graves,Ryze,Jhin,Seraphine,1
ESPORTSTMNT03/1684024,Kennen,Taliyah,Yone,Samira,Leona,Irelia,Udyr,Lucian,Seraphine,Maokai,0
ESPORTSTMNT03/1684025,Gragas,Hecarim,Akali,Kai'Sa,Janna,Renekton,Nidalee,Orianna,Samira,Rell,1
NA1/3758330044,Shen,Graves,Orianna,Samira,Pantheon,Camille,Lillia,Viktor,Xayah,Galio,1
NA1/3758310179,Wukong,Hecarim,Orianna,Kai'Sa,Thresh,Ornn,Ivern,Ekko,Aphelios,Lulu,0
NA1/3758330602,Camille,Nidalee,Twisted Fate,Senna,Alistar,Gragas,Graves,Yone,Jhin,Galio,0
NA1/3758310892,Sion,Karthus,Tristana,Aphelios,Galio,Aatrox,Hecarim,Neeko,Kai'Sa,Nautilus,1
NA1/3758310924,Camille,Nidalee,Azir,Senna,Alistar,Gragas,Graves,Orianna,Ezreal,Galio,1
NA1/3758311314,Camille,Graves,Syndra,Aphelios,Thresh,Renekton,Taliyah,Twisted Fate,Miss Fortune,Leona,1
NA1/3758311720,Renekton,Lillia,Syndra,Kai'Sa,Shen,Gragas,Graves,Twisted Fate,Miss Fortune,Alistar,0
7026-9395,Aatrox,Taliyah,Galio,Kai'Sa,Alistar,Gnar,Lillia,Orianna,Jhin,Sett,0
7026-9396,Gnar,Pantheon,Viktor,Ezreal,Alistar,Renekton,Lillia,Ryze,Xayah,Rakan,1
ESPORTSTMNT01/1731227,Camille,Graves,Syndra,Samira,Rell,Gragas,Nidalee,Lucian,Kai'Sa,Alistar,1
7028-9398,Irelia,Hecarim,Galio,Kai'Sa,Alistar,Ornn,Graves,Akali,Xayah,Rell,0
ESPORTSTMNT01/1731235,Gragas,Taliyah,Yone,Kai'Sa,Galio,Gnar,Lillia,Sett,Samira,Rell,1
7028-9399,Gragas,Karthus,Yasuo,Kai'Sa,Alistar,Irelia,Nidalee,Orianna,Tristana,Leona,1
6941-9400,Gnar,Lillia,Azir,Kai'Sa,Sett,Irelia,Hecarim,Orianna,Aphelios,Thresh,0
ESPORTSTMNT01/1731252,Gragas,Graves,Azir,Kai'Sa,Rell,Ornn,Udyr,Orianna,Samira,Rakan,0
7030-9403,Renekton,Hecarim,Viktor,Tristana,Rell,Ornn,Lillia,Yone,Samira,Alistar,0
6941-9402,Gnar,Rek'Sai,Orianna,Samira,Alistar,Gangplank,Lillia,Azir,Aphelios,Thresh,1
7030-9405,Renekton,Olaf,Syndra,Xayah,Alistar,Aatrox,Graves,Akali,Tristana,Rell,0
ESPORTSTMNT01/1731285,Aatrox,Taliyah,Galio,Tristana,Yuumi,Gnar,Nidalee,Orianna,Samira,Rell,1
6942-9406,Aatrox,Elise,Orianna,Kai'Sa,Gragas,Gnar,Pantheon,Syndra,Aphelios,Thresh,0
7030-9407,Gangplank,Olaf,Orianna,Samira,Rell,Renekton,Nidalee,Galio,Xayah,Alistar,1
7029-9409,Camille,Hecarim,Akali,Samira,Rell,Aatrox,Olaf,Zoe,Aphelios,Thresh,1
ESPORTSTMNT01/1731319,Aatrox,Nidalee,Twisted Fate,Samira,Rell,Gnar,Taliyah,Kalista,Kai'Sa,Gragas,0
6942-9408,Ornn,Olaf,Syndra,Kai'Sa,Sett,Aatrox,Pantheon,Zoe,Vayne,Galio,1
7029-9410,Ornn,Graves,Akali,Aphelios,Thresh,Camille,Lillia,Lucian,Kai'Sa,Rakan,1
7029-9411,Camille,Nidalee,Zoe,Kai'Sa,Nautilus,Akali,Olaf,Yone,Aphelios,Lulu,0
ESPORTSTMNT01/1731417,Gragas,Lillia,Viktor,Kai'Sa,Leona,Sett,Hecarim,Ryze,Vayne,Galio,1
ESPORTSTMNT01/1721273,Aatrox,Dr. Mundo,Twisted Fate,Aphelios,Thresh,Gnar,Hecarim,Katarina,Kai'Sa,Nautilus,1
ESPORTSTMNT03/1673830,Volibear,Graves,Twisted Fate,Tristana,Leona,Renekton,Nidalee,Ryze,Kai'Sa,Thresh,0
ESPORTSTMNT01/1731468,Gragas,Pantheon,Galio,Kai'Sa,Alistar,Renekton,Lillia,Syndra,Jhin,Braum,0
ESPORTSTMNT01/1731469,Volibear,Nidalee,Yone,Ashe,Thresh,Renekton,Ekko,Irelia,Miss Fortune,Pyke,1
ESPORTSTMNT04/1490879,Malphite,Graves,Syndra,Xayah,Nautilus,Gragas,Ivern,Orianna,Aphelios,Braum,0
ESPORTSTMNT03/1673833,Sylas,Graves,Seraphine,Miss Fortune,Alistar,Aatrox,Udyr,Viktor,Kai'Sa,Gragas,0
ESPORTSTMNT01/1731529,Renekton,Lillia,Viktor,Ezreal,Maokai,Gragas,Nidalee,Yone,Kai'Sa,Rell,1
ESPORTSTMNT04/1490895,Gragas,Ivern,Orianna,Vayne,Alistar,Camille,Graves,Akali,Kai'Sa,Nautilus,1
ESPORTSTMNT01/1731571,Vladimir,Olaf,Seraphine,Jhin,Nautilus,Riven,Graves,Syndra,Kai'Sa,Alistar,1
ESPORTSTMNT01/1721348,Gnar,Hecarim,Akali,Xayah,Galio,Gangplank,Lillia,Sylas,Samira,Gragas,1
ESPORTSTMNT01/1731626,Ornn,Graves,Viktor,Aphelios,Thresh,Gragas,Lillia,Tristana,Miss Fortune,Braum,0
ESPORTSTMNT01/1721392,Shen,Lillia,Lucian,Aphelios,Gragas,Camille,Graves,Twisted Fate,Kai'Sa,Leona,1
ESPORTSTMNT01/1721420,Gragas,Olaf,Zoe,Miss Fortune,Thresh,Camille,Nidalee,Orianna,Kai'Sa,Leona,0
NA1/3758436658,Gnar,Nidalee,Akali,Kai'Sa,Blitzcrank,Shen,Lillia,Lucian,Aphelios,Thresh,0
NA1/3758446440,Gangplank,Taliyah,Galio,Aphelios,Thresh,Volibear,Hecarim,Lucian,Senna,Blitzcrank,1
NA1/3758516253,Renekton,Kindred,Seraphine,Soraka,Leona,Vayne,Elise,Zoe,Samira,Alistar,1
NA1/3758616144,Renekton,Taliyah,Lucian,Kai'Sa,Leona,Camille,Hecarim,Malphite,Senna,Galio,0
NA1/3758156859,Camille,Taliyah,Pantheon,Samira,Nautilus,Gragas,Kindred,Riven,Jhin,Seraphine,0
NA1/3758436716,Renekton,Olaf,Orianna,Aphelios,Galio,Gnar,Pantheon,Twisted Fate,Miss Fortune,Thresh,1
NA1/3758156888,Wukong,Pantheon,Syndra,Aphelios,Thresh,Gangplank,Nocturne,Viktor,Kai'Sa,Galio,0
NA1/3758406682,Urgot,Hecarim,Orianna,Aphelios,Thresh,Renekton,Lillia,Twisted Fate,Kai'Sa,Galio,1
NA1/3758466191,Gragas,Pantheon,LeBlanc,Kai'Sa,Leona,Camille,Olaf,Twisted Fate,Xayah,Rakan,1
NA1/3758616570,Renekton,Taliyah,Twisted Fate,Aphelios,Leona,Ornn,Lillia,Yone,Kai'Sa,Galio,1
NA1/3758437047,Gragas,Udyr,Galio,Senna,Pantheon,Illaoi,Taliyah,Twisted Fate,Jhin,Leona,1
NA1/3758516729,Jayce,Nidalee,Twisted Fate,Aphelios,Nautilus,Renekton,Elise,Viktor,Vayne,Lulu,0
NA1/3758277138,Camille,Graves,Sylas,Tristana,Galio,Malphite,Lillia,Orianna,Kai'Sa,Sett,0
NA1/3758466558,Wukong,Lillia,Lucian,Kai'Sa,Sett,Malphite,Hecarim,Viktor,Aphelios,Shen,0
NA1/3758407064,Gragas,Hecarim,Aurelion Sol,Draven,Leona,Shen,Lillia,Pantheon,Kai'Sa,Thresh,0
NA1/3758277193,Camille,Olaf,Syndra,Vayne,Soraka,Shen,Lillia,Yone,Kai'Sa,Thresh,1
NA1/3758297028,Ornn,Lillia,Lucian,Kai'Sa,Galio,Gragas,Nidalee,Yone,Aphelios,Thresh,1
NA1/3758446939,Gragas,Kindred,Pantheon,Kai'Sa,Thresh,Renekton,Nidalee,Zoe,Xayah,Leona,1
NA1/3758277602,Gnar,Nidalee,Malzahar,Samira,Sett,Wukong,Graves,Orianna,Kai'Sa,Galio,1
NA1/3758447367,Aatrox,Taliyah,Pantheon,Kai'Sa,Galio,Renekton,Gragas,Zoe,Aphelios,Alistar,0
NA1/3758437617,Aatrox,Taliyah,Twisted Fate,Senna,Sett,Renekton,Lillia,Zoe,Jhin,Alistar,0
ESPORTSTMNT01/1721548,Jax,Rek'Sai,Orianna,Kai'Sa,Rell,Ornn,Lillia,Yone,Xayah,Thresh,0
ESPORTSTMNT01/1721557,Aatrox,Nidalee,Irelia,Samira,Alistar,Camille,Lee Sin,Twisted Fate,Kai'Sa,Rell,1
6943-9412,Lucian,Lillia,Renekton,Xayah,Alistar,Gnar,Udyr,Ryze,Jhin,Leona,0
ESPORTSTMNT01/1721590,Jayce,Olaf,Syndra,Kai'Sa,Sett,Aatrox,Nidalee,Galio,Miss Fortune,Ashe,1
6943-9413,Camille,Lillia,Yone,Miss Fortune,Thresh,Gnar,Hecarim,Rumble,Xayah,Alistar,0
6943-9414,Akali,Olaf,Twisted Fate,Aphelios,Thresh,Gragas,Graves,Ryze,Miss Fortune,Nautilus,0
ESPORTSTMNT01/1721617,Aatrox,Nidalee,Orianna,Kai'Sa,Gragas,Camille,Lillia,Yone,Samira,Rell,1
6944-9415,Gnar,Pantheon,Zoe,Samira,Alistar,Jayce,Graves,Twisted Fate,Jhin,Rell,0
ESPORTSTMNT01/1721630,Gnar,Nidalee,Lucian,Varus,Maokai,Camille,Taliyah,Irelia,Aphelios,Thresh,1
6944-9416,Gangplank,Lillia,Zoe,Samira,Leona,Gnar,Graves,Orianna,Aphelios,Alistar,0
6944-9417,Ornn,Olaf,Azir,Aphelios,Thresh,Renekton,Lillia,Akali,Kai'Sa,Leona,0
ESPORTSTMNT01/1731994,Karma,Hecarim,Orianna,Jhin,Nautilus,Gnar,Olaf,Viktor,Ashe,Alistar,1
ESPORTSTMNT03/1673869,Renekton,Taliyah,Orianna,Kai'Sa,Alistar,Karma,Hecarim,Galio,Xayah,Thresh,0
ESPORTSTMNT01/1721721,Camille,Hecarim,Syndra,Xayah,Galio,Gragas,Olaf,Twisted Fate,Aphelios,Thresh,1
ESPORTSTMNT04/1481046,Malphite,Hecarim,Karma,Kai'Sa,Shen,Renekton,Graves,Cassiopeia,Miss Fortune,Galio,1
ESPORTSTMNT01/1732046,Akali,Graves,Seraphine,Kai'Sa,Alistar,Yorick,Olaf,Anivia,Miss Fortune,Nautilus,0
ESPORTSTMNT01/1721747,Renekton,Udyr,Twisted Fate,Samira,Rell,Sett,Lillia,Lucian,Kai'Sa,Leona,1
ESPORTSTMNT01/1732080,Aatrox,Hecarim,Twisted Fate,Jhin,Gragas,Kled,Lillia,Lucian,Miss Fortune,Leona,0
ESPORTSTMNT01/1721775,Aatrox,Hecarim,Galio,Seraphine,Nautilus,Akali,Udyr,Vayne,Sett,Gragas,0
ESPORTSTMNT04/1481054,Volibear,Taliyah,Pantheon,Kai'Sa,Alistar,Gangplank,Ivern,Renekton,Jhin,Gragas,0
ESPORTSTMNT01/1732102,Aatrox,Hecarim,Seraphine,Kai'Sa,Nautilus,Tryndamere,Olaf,LeBlanc,Jhin,Maokai,1
ESPORTSTMNT03/1673878,Karma,Hecarim,Viktor,Lucian,Galio,Gnar,Udyr,Anivia,Tristana,Leona,0
ESPORTSTMNT03/1673893,Karma,Hecarim,Viktor,Lucian,Galio,Gnar,Udyr,Anivia,Tristana,Leona,0
ESPORTSTMNT01/1721796,Renekton,Nidalee,Zoe,Samira,Alistar,Volibear,Graves,Syndra,Kai'Sa,Leona,1
ESPORTSTMNT03/1684110,Aatrox,Taliyah,Twisted Fate,Aphelios,Thresh,Renekton,Hecarim,Syndra,Kai'Sa,Nautilus,0
ESPORTSTMNT01/1732131,Sion,Kindred,Viktor,Kai'Sa,Leona,Ornn,Graves,Ekko,Xayah,Galio,0
ESPORTSTMNT01/1721846,Renekton,Olaf,Syndra,Ashe,Nautilus,Aatrox,Taliyah,Lucian,Kai'Sa,Thresh,0
ESPORTSTMNT04/1481061,Gnar,Graves,Syndra,Kai'Sa,Rell,Ornn,Lillia,Viktor,Jhin,Sett,1
ESPORTSTMNT03/1684113,Ornn,Olaf,Ekko,Samira,Rell,Irelia,Lillia,Syndra,Jhin,Alistar,0
ESPORTSTMNT01/1721862,Aatrox,Nidalee,Diana,Samira,Rell,Kled,Udyr,Viktor,Kai'Sa,Bard,0
ESPORTSTMNT03/1684168,Camille,Graves,Syndra,Aphelios,Thresh,Gragas,Olaf,Viktor,Jhin,Alistar,0
ESPORTSTMNT03/1684184,Gragas,Volibear,Orianna,Aphelios,Thresh,Aatrox,Hecarim,Akali,Kai'Sa,Sett,0
NA1/3760583371,Volibear,Karthus,Riven,Kai'Sa,Bard,Gangplank,Graves,Lissandra,Aphelios,Gragas,1
NA1/3760473340,Gnar,Kindred,Karma,Aphelios,Thresh,Gragas,Olaf,Viktor,Senna,Sett,1
NA1/3760593225,Gangplank,Taliyah,Pantheon,Samira,Braum,Gnar,Hecarim,Galio,Jhin,Karma,1
NA1/3760353923,Shen,Olaf,Syndra,Senna,Galio,Gangplank,Kindred,Lulu,Kai'Sa,Zilean,0
NA1/3760583430,Camille,Kindred,Twisted Fate,Seraphine,Alistar,Mordekaiser,Hecarim,Akali,Jhin,Galio,0
NA1/3760583447,Camille,Nidalee,Orianna,Kai'Sa,Rell,Renekton,Lillia,Ryze,Senna,Galio,0
NA1/3760433724,Cho'Gath,Olaf,Lucian,Heimerdinger,Sett,Shen,Kindred,Twisted Fate,Jhin,Galio,0
NA1/3760723177,Aatrox,Graves,Syndra,Aphelios,Thresh,Renekton,Pantheon,Ekko,Kai'Sa,Sett,0
NA1/3760623744,Volibear,Poppy,Twisted Fate,Aphelios,Pyke,Gangplank,Graves,Ryze,Kai'Sa,Thresh,0
NA1/3760583782,Gnar,Graves,Viktor,Senna,Gragas,Renekton,Lillia,Vel'Koz,Kai'Sa,Sett,0
NA1/3760524123,Ornn,Graves,Yone,Ezreal,Galio,Renekton,Taliyah,Twisted Fate,Samira,Alistar,1
NA1/3760863233,Ornn,Jarvan IV,Lucian,Heimerdinger,Galio,Illaoi,Nidalee,Xerath,Jhin,Leona,1
NA1/3760873099,Gnar,Hecarim,Orianna,Seraphine,Senna,Irelia,Graves,Syndra,Samira,Sett,0
